Tahun;Bulan;Negara;Komoditas;Volume;Tabel Harga
2019;November;SINGAPORE;Adas Manis;5.0;2.2
2019;December;SINGAPORE;Adas Manis;5.0;1.54
2019;January;THAILAND;Adas Manis;2000.0;7.93
2019;February;THAILAND;Adas Manis;2000.0;7.93
2019;March;THAILAND;Adas Manis;2000.0;7.93
2019;April;THAILAND;Adas Manis;2000.0;7.93
2019;May;THAILAND;Adas Manis;2000.0;7.93
2019;June;THAILAND;Adas Manis;2000.0;7.93
2019;July;THAILAND;Adas Manis;2000.0;7.93
2019;August;THAILAND;Adas Manis;2000.0;7.93
2019;September;THAILAND;Adas Manis;2000.0;7.93
2019;October;THAILAND;Adas Manis;2000.0;7.93
2019;November;THAILAND;Adas Manis;2000.0;7.93
2019;December;THAILAND;Adas Manis;2000.0;7.93
2019;January;UNITED STATES;Adas Manis;1360.0;5.07
2019;February;UNITED STATES;Adas Manis;450.0;4.51
2019;March;UNITED STATES;Adas Manis;1340.0;4.8
2019;April;UNITED STATES;Adas Manis;1340.0;4.8
2019;May;UNITED STATES;Adas Manis;1340.0;4.8
2019;June;UNITED STATES;Adas Manis;1340.0;4.8
2019;July;UNITED STATES;Adas Manis;2720.0;6.53
2019;August;UNITED STATES;Adas Manis;1580.0;6.31
2019;September;UNITED STATES;Adas Manis;1340.0;4.8
2019;October;UNITED STATES;Adas Manis;1340.0;4.8
2019;November;UNITED STATES;Adas Manis;1340.0;4.8
2019;December;UNITED STATES;Adas Manis;1340.0;4.8
2020;January;AUSTRALIA;Adas Manis;500.0;8.25
2020;February;AUSTRALIA;Adas Manis;500.0;8.25
2020;March;AUSTRALIA;Adas Manis;1000.0;8.25
2020;April;AUSTRALIA;Adas Manis;500.0;8.25
2020;May;AUSTRALIA;Adas Manis;500.0;8.25
2020;June;AUSTRALIA;Adas Manis;500.0;8.25
2020;July;AUSTRALIA;Adas Manis;500.0;8.25
2020;August;AUSTRALIA;Adas Manis;500.0;9.0
2020;September;AUSTRALIA;Adas Manis;500.0;8.25
2020;October;AUSTRALIA;Adas Manis;500.0;8.25
2020;November;AUSTRALIA;Adas Manis;500.0;8.25
2020;December;AUSTRALIA;Adas Manis;500.0;8.25
2020;January;NEW ZEALAND;Adas Manis;875.0;8.0
2020;February;NEW ZEALAND;Adas Manis;1000.0;8.15
2020;March;NEW ZEALAND;Adas Manis;875.0;8.0
2020;April;NEW ZEALAND;Adas Manis;875.0;8.0
2020;May;NEW ZEALAND;Adas Manis;875.0;8.0
2020;June;NEW ZEALAND;Adas Manis;875.0;8.0
2020;July;NEW ZEALAND;Adas Manis;750.0;9.05
2020;August;NEW ZEALAND;Adas Manis;875.0;8.0
2020;September;NEW ZEALAND;Adas Manis;875.0;8.0
2020;October;NEW ZEALAND;Adas Manis;875.0;8.0
2020;November;NEW ZEALAND;Adas Manis;875.0;8.0
2020;December;NEW ZEALAND;Adas Manis;875.0;8.0
2020;January;SINGAPORE;Adas Manis;5.0;1.54
2020;February;SINGAPORE;Adas Manis;5.0;1.54
2020;March;SINGAPORE;Adas Manis;5.0;1.54
2020;April;SINGAPORE;Adas Manis;5.0;1.54
2020;May;SINGAPORE;Adas Manis;5.0;2.05
2020;June;SINGAPORE;Adas Manis;5.0;1.54
2020;July;SINGAPORE;Adas Manis;5.0;1.54
2020;August;SINGAPORE;Adas Manis;5.0;1.54
2020;September;SINGAPORE;Adas Manis;5.0;1.54
2020;October;SINGAPORE;Adas Manis;5.0;1.81
2020;November;SINGAPORE;Adas Manis;5.0;1.54
2020;December;SINGAPORE;Adas Manis;5.0;1.54
2021;January;NETHERLANDS;Adas Manis;0.8;4.0
2021;February;NETHERLANDS;Adas Manis;0.8;4.0
2021;March;NETHERLANDS;Adas Manis;0.8;4.0
2021;April;NETHERLANDS;Adas Manis;0.8;4.0
2021;May;NETHERLANDS;Adas Manis;0.8;4.0
2021;June;NETHERLANDS;Adas Manis;0.8;4.0
2021;July;NETHERLANDS;Adas Manis;0.8;2.5
2021;August;NETHERLANDS;Adas Manis;0.8;4.0
2021;September;NETHERLANDS;Adas Manis;0.8;4.0
2021;October;NETHERLANDS;Adas Manis;0.8;4.0
2021;November;NETHERLANDS;Adas Manis;0.8;4.0
2021;December;NETHERLANDS;Adas Manis;0.8;4.0
2021;January;SINGAPORE;Adas Manis;5.0;1.54
2021;February;SINGAPORE;Adas Manis;5.0;1.54
2021;March;SINGAPORE;Adas Manis;5.0;1.54
2021;April;SINGAPORE;Adas Manis;5.0;1.54
2021;May;SINGAPORE;Adas Manis;10.0;2.41
2021;June;SINGAPORE;Adas Manis;5.0;1.54
2021;July;SINGAPORE;Adas Manis;5.0;1.54
2021;August;SINGAPORE;Adas Manis;5.0;1.54
2021;September;SINGAPORE;Adas Manis;5.0;1.54
2021;October;SINGAPORE;Adas Manis;5.0;1.54
2021;November;SINGAPORE;Adas Manis;5.0;1.54
2021;December;SINGAPORE;Adas Manis;5.0;1.54
2021;January;SURINAME;Adas Manis;200.0;12.95
2021;February;SURINAME;Adas Manis;200.0;12.95
2021;March;SURINAME;Adas Manis;200.0;12.95
2021;April;SURINAME;Adas Manis;200.0;12.95
2021;May;SURINAME;Adas Manis;200.0;12.95
2021;June;SURINAME;Adas Manis;200.0;12.95
2021;July;SURINAME;Adas Manis;200.0;12.95
2021;August;SURINAME;Adas Manis;200.0;12.95
2021;September;SURINAME;Adas Manis;200.0;12.95
2021;October;SURINAME;Adas Manis;200.0;12.95
2021;November;SURINAME;Adas Manis;200.0;12.95
2021;December;SURINAME;Adas Manis;200.0;12.95
2022;January;FRANCE;Adas Manis;100.0;17.3
2022;February;FRANCE;Adas Manis;100.0;17.3
2022;March;FRANCE;Adas Manis;100.0;17.3
2022;April;FRANCE;Adas Manis;100.0;17.3
2022;May;FRANCE;Adas Manis;100.0;17.3
2022;June;FRANCE;Adas Manis;100.0;17.3
2022;July;FRANCE;Adas Manis;100.0;17.3
2022;August;FRANCE;Adas Manis;100.0;17.3
2022;September;FRANCE;Adas Manis;100.0;17.3
2022;October;FRANCE;Adas Manis;100.0;17.3
2022;November;FRANCE;Adas Manis;100.0;17.3
